code,year,category,n_sections,n_ones,pct
B4_traditional_craftsmanship,2021,VI,180,0.0,0.0
B4_traditional_craftsmanship,2022,CG,693,1.0,0.1
B4_traditional_craftsmanship,2022,NEWS,19,1.0,5.3
B4_traditional_craftsmanship,2022,TOS,105,0.0,0.0
B4_traditional_craftsmanship,2022,VI,636,0.0,0.0
B4_traditional_craftsmanship,2023,CG,196,0.0,0.0
B4_traditional_craftsmanship,2023,NEWS,33,3.0,9.1
B4_traditional_craftsmanship,2023,TOS,487,0.0,0.0
B4_traditional_craftsmanship,2023,VI,797,0.0,0.0
B4_traditional_craftsmanship,2024,CCC,4,0.0,0.0
B4_traditional_craftsmanship,2024,NEWS,21,0.0,0.0
B4_traditional_craftsmanship,2024,TOS,448,0.0,0.0
B4_traditional_craftsmanship,2024,VI,622,0.0,0.0
B4_traditional_craftsmanship,2025,CCC,14,0.0,0.0
B4_traditional_craftsmanship,2025,CG,54,0.0,0.0
B4_traditional_craftsmanship,2025,NEWS,37,1.0,2.7
B4_traditional_craftsmanship,2025,TOS,493,0.0,0.0
B4_traditional_craftsmanship,2025,VI,731,0.0,0.0
B4_traditional_craftsmanship,sub,CG,1783,45.0,2.5
B5_commercialization_culture,2019,NEWS,29,0.0,0.0
B5_commercialization_culture,2019,VI,5,0.0,0.0
B5_commercialization_culture,2020,CG,398,0.0,0.0
B5_commercialization_culture,2020,NEWS,85,0.0,0.0
B5_commercialization_culture,2020,TRANS,36,0.0,0.0
B5_commercialization_culture,2020,VI,365,6.0,1.6
B5_commercialization_culture,2021,CG,540,0.0,0.0
B5_commercialization_culture,2021,NEWS,38,1.0,2.6
B5_commercialization_culture,2021,TRANS,84,0.0,0.0
B5_commercialization_culture,2021,VI,180,3.0,1.7
B5_commercialization_culture,2022,CG,693,0.0,0.0
B5_commercialization_culture,2022,NEWS,19,0.0,0.0
B5_commercialization_culture,2022,TOS,105,0.0,0.0
B5_commercialization_culture,2022,VI,636,0.0,0.0
B5_commercialization_culture,2023,CG,196,0.0,0.0
B5_commercialization_culture,2023,NEWS,33,0.0,0.0
B5_commercialization_culture,2023,TOS,487,0.0,0.0
B5_commercialization_culture,2023,VI,797,0.0,0.0
B5_commercialization_culture,2024,CCC,4,0.0,0.0
B5_commercialization_culture,2024,NEWS,21,0.0,0.0
B5_commercialization_culture,2024,TOS,448,0.0,0.0
B5_commercialization_culture,2024,VI,622,0.0,0.0
B5_commercialization_culture,2025,CCC,14,0.0,0.0
B5_commercialization_culture,2025,CG,54,0.0,0.0
B5_commercialization_culture,2025,NEWS,37,0.0,0.0
B5_commercialization_culture,2025,TOS,493,0.0,0.0
B5_commercialization_culture,2025,VI,731,0.0,0.0
B5_commercialization_culture,sub,CG,1783,8.0,0.4
