filename,category,timestamp,year,method,html_size_kb,extracted_chars,output_file
CG_20200709005326_IM6UERCEOTIJ.html,CG,20200709005326,2020,AW_article_wrapper,251.5478515625,22822,CG_20200709005326_IM6UERCEOTIJ.md
CG_20200720185237_V7ATA6644NCE.html,CG,20200720185237,2020,AW_article_wrapper,257.5947265625,22822,CG_20200720185237_V7ATA6644NCE.md
CG_20200730165024_32T27RRWAAML.html,CG,20200730165024,2020,AW_article_wrapper,264.8193359375,22822,CG_20200730165024_32T27RRWAAML.md
CG_20200801014447_UDIGJIMNVXKW.html,CG,20200801014447,2020,AW_article_wrapper,265.0615234375,22822,CG_20200801014447_UDIGJIMNVXKW.md
CG_20200805235149_LIEAMNHW464P.html,CG,20200805235149,2020,AW_article_wrapper,265.7705078125,23049,CG_20200805235149_LIEAMNHW464P.md
CG_20200813081540_OWWTYWIKGA3Y.html,CG,20200813081540,2020,AW_article_wrapper,264.01171875,23049,CG_20200813081540_OWWTYWIKGA3Y.md
CG_20200817192619_IXUNBOUKQZFD.html,CG,20200817192619,2020,AW_article_wrapper,264.4638671875,23049,CG_20200817192619_IXUNBOUKQZFD.md
CG_20200830190741_ZEIDGZEAYTBQ.html,CG,20200830190741,2020,AW_article_wrapper,265.6494140625,23049,CG_20200830190741_ZEIDGZEAYTBQ.md
CG_20200902073449_AGJVAPEZ3TX2.html,CG,20200902073449,2020,AW_article_wrapper,266.890625,23049,CG_20200902073449_AGJVAPEZ3TX2.md
CG_20200904130047_AF6PSFJVJTBL.html,CG,20200904130047,2020,AW_article_wrapper,267.0986328125,23049,CG_20200904130047_AF6PSFJVJTBL.md
CG_20200917000341_AYMFBQ4673KI.html,CG,20200917000341,2020,AW_article_wrapper,271.443359375,23049,CG_20200917000341_AYMFBQ4673KI.md
CG_20200922035632_GCSWMTWBOM6Y.html,CG,20200922035632,2020,AW_article_wrapper,272.1064453125,23049,CG_20200922035632_GCSWMTWBOM6Y.md
CG_20200930222503_6MMGMCM4AYIM.html,CG,20200930222503,2020,AW_article_wrapper,272.7734375,23049,CG_20200930222503_6MMGMCM4AYIM.md
CG_20201001111231_4ZVM6ZTFSEHM.html,CG,20201001111231,2020,AW_article_wrapper,272.7734375,23049,CG_20201001111231_4ZVM6ZTFSEHM.md
CG_20201007140654_C4BSECBA45FX.html,CG,20201007140654,2020,AW_article_wrapper,273.625,23049,CG_20201007140654_C4BSECBA45FX.md
CG_20201010020140_AY6ONL2NFZBE.html,CG,20201010020140,2020,AW_article_wrapper,281.2158203125,23049,CG_20201010020140_AY6ONL2NFZBE.md
CG_20201022080559_M6JOSLK3CQQ4.html,CG,20201022080559,2020,AW_article_wrapper,285.0234375,23049,CG_20201022080559_M6JOSLK3CQQ4.md
CG_20201027233938_6ZCEVKZJGXJO.html,CG,20201027233938,2020,AW_article_wrapper,285.2021484375,23067,CG_20201027233938_6ZCEVKZJGXJO.md
CG_20201107014818_QJ2QLX3YRXBV.html,CG,20201107014818,2020,AW_article_wrapper,286.0361328125,23067,CG_20201107014818_QJ2QLX3YRXBV.md
CG_20201110200922_DUMNYA3F3UWR.html,CG,20201110200922,2020,AW_article_wrapper,286.287109375,23067,CG_20201110200922_DUMNYA3F3UWR.md
CG_20201118060403_5AKP4T5N6M4J.html,CG,20201118060403,2020,AW_article_wrapper,290.7119140625,23067,CG_20201118060403_5AKP4T5N6M4J.md
