category,filename,length,ascii_ratio,alpha_ratio,weird_runs,keyword_hits
CCC,CCC_20240417190716_SC3ZWODKJOMZ.md,5228,0.9996174445294568,0.9978959449120123,0,8
CCC,CCC_20240417230402_TCOHRYCDQMZ2.md,5228,0.9996174445294568,0.9978959449120123,0,8
CCC,CCC_20250421162554_FD7HNNNGKDBI.md,2229,0.9986541049798116,0.9816061013907582,0,6
CCC,CCC_20250427205010_WMZGRUTB34NU.md,2229,0.9986541049798116,0.9816061013907582,0,6
CCC,CCC_20250515153247_HHOSQIRQL4TG.md,2205,0.998639455782313,0.98140589569161,0,6
CCC,CCC_20250908003015_4WPALDCVCRVH.md,966,1.0,0.9668737060041408,0,4
CCC,CCC_20250909221722_RN6U2T7BOPXW.md,2205,0.998639455782313,0.98140589569161,0,6
CCC,CCC_20251112172152_JHOMMDMH3GLP.md,2205,0.998639455782313,0.98140589569161,0,6
CCC,CCC_20251112194848_KZ2GDGX572RH.md,2205,0.998639455782313,0.98140589569161,0,6
CCC,CCC_20251217101512_BKLC4BMBGCXN.md,966,1.0,0.9668737060041408,0,4
CG,CG_20200130201604_ENYGRABX3K37.md,22689,0.9992948124641897,0.9890695931949403,0,7
CG,CG_20200201013134_QEQZ3KDK3HVU.md,22689,0.9992948124641897,0.9890695931949403,0,7
CG,CG_20200203235056_3EAPUK3AIJGX.md,22716,0.9992956506427187,0.9890825849621412,0,7
CG,CG_20200211044041_LDYOADL7N4CU.md,22716,0.9992956506427187,0.9890825849621412,0,7
CG,CG_20200220105126_TRO2MMRGVXFC.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200229084125_D66ZKUM7AMMM.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200301100359_PLMS6HK2R3WI.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200305053501_5NCHIY6YRE6U.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200307192028_5KBK7O26EQHD.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200316101450_X5TNRXGEP6EG.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200326045922_KQRLTSEPCOF5.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200402060242_WQPFFYV2Z5P3.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200418094620_4F352GBYUATW.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200424040521_IRWZ2XXJU6EG.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200425132858_4LWGGX34VEO3.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200429052121_EWUCHM7IYHCE.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200501071910_GICCSACVXLAG.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200508112004_3HXRFDWIMG7I.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200513170307_4DCGUDN3FINC.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200523055246_CNVUIRLLNGT3.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200531133905_QDGFL5OGBCRI.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200601141626_BMGHFOPRPMCY.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200612035156_PJAJ4VKHWJ5Q.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200620064013_VBBV32V4UGA2.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200627105345_NRNQO2EP2D7H.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200630204835_YCYONCV4MQH6.md,22822,0.9993427394619228,0.9903601787748664,0,7
CG,CG_20200701021651_R3O2CVQCMIEB.md,22822,0.9993427394619228,0.9903601787748664,0,7
