timestamp,original,category,reason
20230606162450,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20230612111045,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20230715073014,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20230715130735,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20230721094221,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20230726142528,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20230831233214,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20230930223541,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231001000344,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231008153944,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20231008162011,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231010140511,http://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20231016052902,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20231016061033,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231024082401,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20231024092847,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231029121256,http://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20231031231650,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231101002044,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231111194241,http://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20231115215438,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231123053330,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231201000754,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20231217140610,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240116134811,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240131233721,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240223014043,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240229235324,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240301002845,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240315104115,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20240315105648,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240321033722,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20240321045242,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240326131434,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240331234716,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240401002142,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240407174918,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240407184401,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20240414143415,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20240424190758,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20240430233141,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240506020514,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240509234220,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20240517065746,https://www.tiktok.com/community-guidelines/en/,CG_sub,failed: HTTPError
20240831033317,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20240901103807,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20251004220808,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20251127124246,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20251202174645,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20251217235945,https://www.tiktok.com/community-guidelines/en/,CG,failed: HTTPError
20230722021615,http://www.tiktok.com/community-guidelines/en/?%3bhttps%3a%2f%2fsupport.google.com%2fyoutube%2fanswer%2f2801973%3fhl%3denahttps%3a%2f%2fhelp.twitter.com%2fen%2frules-and-policies%2fmanipulated-media=,CG_sub,failed: HTTPError
20231014205643,http://www.tiktok.com/community-guidelines/en/?%C4%B1nd%C4%B1t%C3%BCrk=,CG_sub,failed: HTTPError
20230508090519,http://www.tiktok.com/community-guidelines/en/?%E2%80%A2=,CG_sub,failed: HTTPError
20230804143746,http://www.tiktok.com/community-guidelines/en/?(diakses=,CG_sub,failed: HTTPError
20230522073824,http://www.tiktok.com/community-guidelines/en/?2https%3a%2f%2fwww.tiktok.com%2flegal%2fterms-of-use9=,CG_sub,failed: HTTPError
20230607075158,http://www.tiktok.com/community-guidelines/en/?c-,CG_sub,failed: HTTPError
20230321142145,https://www.tiktok.com/community-guidelines/en/?cgversion=2023,CG_sub,failed: HTTPError
20230322075946,https://www.tiktok.com/community-guidelines/en/?cgversion=2023,CG_sub,failed: HTTPError
20230328172943,https://www.tiktok.com/community-guidelines/en/?cgversion=2023,CG_sub,failed: HTTPError
20250118022926,https://www.tiktok.com/community-guidelines/en/?cgversion=2023,CG_sub,failed: HTTPError
20251023162643,https://www.tiktok.com/community-guidelines/en/?cgversion=2025H2update,CG_sub,failed: HTTPError
20250630204323,https://www.tiktok.com/community-guidelines/en/?lang%3Den=,CG_sub,failed: HTTPError
